keyword,avg_monthly_searches,searches_past_months
ai photo editor,201000,"[880, 1000, 1600, 1900, 6600, 4400, 5400, 9900, 18100, 27100, 40500, 40500, 40500, 33100, 49500, 49500, 60500, 60500, 49500, 60500, 60500, 60500, 60500, 60500, 60500, 60500, 74000, 74000, 74000, 74000, 60500, 74000, 90500, 110000, 110000, 135000, 110000, 135000, 165000, 135000, 201000, 246000, 246000, 246000, 246000, 246000, 246000, 246000]"
ai videographer,49500,"[1000, 1600, 1900, 1900, 2900, 4400, 5400, 6600, 9900, 12100, 9900, 9900, 9900, 8100, 9900, 9900, 12100, 12100, 40500, 22200, 18100, 18100, 22200, 22200, 22200, 22200, 27100, 27100, 33100, 33100, 33100, 33100, 33100, 40500, 60500, 49500, 40500, 40500, 60500, 49500, 49500, 49500, 40500, 49500, 49500, 49500, 40500, 40500]"
ai writer,33100,"[8100, 9900, 12100, 14800, 33100, 49500, 40500, 49500, 60500, 60500, 40500, 40500, 40500, 60500, 74000, 74000, 74000, 74000, 90500, 74000, 74000, 74000, 60500, 49500, 49500, 74000, 90500, 74000, 74000, 60500, 60500, 74000, 74000, 74000, 40500, 33100, 40500, 49500, 49500, 40500, 40500, 33100, 33100, 33100, 33100, 27100, 22200, 18100]"
prompt engineer,22200,"[1300, 1900, 2400, 1600, 5400, 14800, 33100, 60500, 74000, 60500, 49500, 49500, 40500, 33100, 33100, 33100, 27100, 33100, 33100, 40500, 40500, 33100, 33100, 27100, 22200, 27100, 33100, 27100, 22200, 33100, 27100, 27100, 33100, 33100, 33100, 33100, 33100, 27100, 27100, 22200, 22200, 22200, 22200, 27100, 22200, 18100, 18100, 14800]"
ai engineer,18100,"[3600, 2900, 3600, 2900, 2900, 4400, 4400, 4400, 5400, 5400, 5400, 5400, 6600, 5400, 6600, 6600, 5400, 8100, 6600, 9900, 9900, 8100, 8100, 6600, 6600, 8100, 8100, 8100, 8100, 14800, 12100, 12100, 18100, 14800, 14800, 14800, 18100, 18100, 18100, 14800, 14800, 18100, 18100, 18100, 22200, 22200, 22200, 18100]"
ai lawyer,18100,"[1600, 1300, 1600, 1600, 3600, 18100, 12100, 12100, 14800, 18100, 14800, 12100, 12100, 9900, 12100, 12100, 12100, 14800, 14800, 18100, 14800, 14800, 14800, 18100, 14800, 18100, 18100, 18100, 12100, 14800, 14800, 18100, 22200, 22200, 18100, 14800, 14800, 18100, 18100, 14800, 14800, 14800, 18100, 22200, 18100, 18100, 18100, 18100]"
forward deployed engineer,18100,"[480, 390, 390, 320, 260, 260, 260, 260, 260, 210, 320, 320, 480, 390, 390, 320, 260, 480, 480, 480, 590, 480, 590, 590, 720, 480, 880, 720, 720, 1300, 1300, 1600, 1900, 2400, 4400, 6600, 6600, 8100, 8100, 14800, 8100, 9900, 12100, 18100, 14800, 33100, 40500, 40500]"
ai ethicist,9900,"[2900, 3600, 4400, 4400, 4400, 5400, 5400, 8100, 8100, 8100, 5400, 5400, 5400, 6600, 8100, 8100, 6600, 8100, 8100, 9900, 9900, 9900, 6600, 6600, 5400, 8100, 8100, 9900, 8100, 12100, 8100, 12100, 12100, 9900, 8100, 6600, 8100, 12100, 12100, 9900, 8100, 14800, 14800, 14800, 9900, 8100, 6600, 5400]"
ai teacher,8100,"[320, 320, 320, 320, 390, 720, 880, 1000, 1300, 2400, 1600, 2400, 2900, 2900, 2900, 3600, 5400, 4400, 4400, 6600, 6600, 5400, 3600, 3600, 4400, 4400, 5400, 5400, 4400, 5400, 5400, 6600, 9900, 9900, 5400, 5400, 9900, 12100, 12100, 9900, 6600, 8100, 8100, 9900, 8100, 6600, 3600, 4400]"
ai consultant,8100,"[720, 480, 590, 590, 590, 1000, 1000, 1600, 1900, 2400, 2400, 2400, 2400, 2400, 2400, 2900, 2900, 3600, 2900, 3600, 3600, 3600, 3600, 2900, 3600, 2900, 3600, 9900, 5400, 8100, 8100, 9900, 9900, 8100, 9900, 6600, 8100, 12100, 14800, 5400, 5400, 5400, 5400, 8100, 8100, 8100, 6600, 12100]"
ai tutor,6600,"[140, 170, 210, 210, 320, 590, 590, 1300, 1300, 1900, 1300, 1600, 1600, 2400, 2900, 2900, 2900, 2900, 3600, 3600, 4400, 4400, 2900, 2400, 2900, 4400, 6600, 5400, 4400, 5400, 9900, 8100, 8100, 6600, 3600, 3600, 4400, 8100, 9900, 8100, 8100, 9900, 12100, 8100, 6600, 6600, 3600, 2400]"
ai accountant,6600,"[880, 880, 880, 880, 1000, 1600, 1900, 2900, 4400, 5400, 3600, 3600, 3600, 4400, 5400, 5400, 4400, 4400, 6600, 6600, 8100, 5400, 4400, 4400, 3600, 5400, 8100, 8100, 6600, 8100, 9900, 9900, 9900, 8100, 6600, 6600, 6600, 9900, 8100, 6600, 5400, 5400, 8100, 9900, 6600, 6600, 5400, 5400]"
ai animator,6600,"[880, 1600, 1900, 1600, 4400, 4400, 4400, 8100, 8100, 8100, 6600, 6600, 6600, 5400, 6600, 6600, 8100, 8100, 8100, 6600, 6600, 6600, 6600, 6600, 6600, 6600, 6600, 6600, 6600, 8100, 6600, 8100, 9900, 8100, 8100, 6600, 6600, 6600, 8100, 6600, 6600, 6600, 6600, 6600, 6600, 6600, 5400, 5400]"
context engineer,5400,"[70, 90, 50, 70, 50, 50, 70, 50, 70, 50, 90, 70, 70, 110, 90, 90, 70, 70, 90, 110, 50, 70, 70, 50, 70, 90, 90, 70, 70, 90, 70, 110, 110, 90, 1600, 14800, 8100, 6600, 6600, 4400, 3600, 4400, 4400, 5400, 5400, 4400, 3600, 3600]"
